Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
PRPF19	133.4500914	55.93763661	135.5108101	90.1366465	130.0998691	128.0106608	51.89789453	136.0179888	131.1409285	92.65962523
TMEM126A	36.32708446	20.80589633	35.40228908	27.24642099	33.29491131	38.48187892	26.19194342	32.12791368	33.96080105	29.65327446
WDR25	3.737116036	2.88087427	3.844103735	3.259616987	4.219951486	3.423193211	2.745549158	4.441938465	4.388142979	3.273970946
PHF23	29.19741577	19.11650464	30.74310833	22.93731482	30.65837742	30.86971087	18.63714376	31.7696754	30.00223915	24.09582083
KIFC1	46.17930319	87.23076688	47.87035315	61.40759341	48.28952385	44.07271778	80.80286813	52.1103896	49.72748686	62.15445824
MT1XP1	1.013592762	3.797025053	1.392905313	1.442061945	1.248374139	1.483756469	2.282874367	1.884431845	2.048514094	1.334608356
ICAM1	1.964497869	2.608851834	1.933528826	1.658881572	2.269541659	1.899078258	2.276788941	2.042034913	2.189569513	1.812764299
HSD11B2	1.499807222	0.901432973	1.649509705	1.202478869	1.275698783	1.322155356	0.794014704	1.602164628	1.356492323	1.287446563
CDK18	4.563461235	15.71568047	4.9713242	8.058845697	5.522626381	3.943252683	13.1754274	4.954768501	4.833806061	8.305414193
ZNF337	7.80528625	9.17103876	7.879244418	9.410296559	8.26145543	8.543593717	8.982985977	7.787934487	7.8551837	9.032309324
GFM1	10.80443257	6.360362788	10.82120265	7.575099308	10.78009033	11.40325711	6.804989055	10.2854589	10.88428854	7.817286115
FAM118A	9.091118076	10.10557685	9.05486278	9.587168102	9.327968531	9.36422822	10.26987386	10.03468132	9.145448405	9.990265267
MB21D2	2.067060786	0.991466091	1.866886805	1.685701206	2.008891978	2.10986004	1.197233552	1.847254723	1.853493947	1.823485462
TSGA10	2.584233045	2.345108048	2.655192296	2.315944834	2.687058964	2.504290479	2.165947045	2.659903725	2.748095041	2.363860508
AP3D1	38.3384208	33.44806491	37.18685928	34.26535633	37.40069766	35.00361671	30.86582179	38.23863269	38.1851116	34.47057554
MRPL1	36.51564971	10.1098458	36.28700392	20.8871934	34.7472989	34.89858354	12.71379982	31.70519349	33.33551344	20.95051159
PTRH2	5.480028441	2.966441974	5.730752389	5.020226344	5.879253509	6.406408887	2.946236676	5.497295621	5.260608094	4.998131001
